Temperature [°C],Mole fraction of liquid,Mole percent of Ag in FCC_A1,Mole percent of Ag in HCP_A3,Molar volume of LIQUID,Mole percent of Ag in LIQUID,Temperature [K],Temp (cels),Solid comp. (at% Ag),Mole frac. Liquid,Liquid comp. (at% Ag),k,V_m liq.,V frac liq,V_m FCC,V frac sol,VmL-VmS,delta V norm by VL
621.999,0.696789668,4.803739915,,1.12094E-05,12.46158636,895.149,621.999,4.827499778,0.690579584,12.53029003,0.385266404,1.12087E-05,0.692298277,1.05203E-05,0.306738248,6.88422E-07,0.06141856
621.899,0.693673324,4.815617746,,1.12091E-05,12.49593606,895.049,621.899,4.839386076,0.687508221,12.56464825,0.385158898,1.12083E-05,0.689241937,1.05201E-05,0.309786662,6.88178E-07,0.061398824
621.799,0.690579584,4.827499778,,1.12087E-05,12.53029003,894.949,621.799,4.851276704,0.68445901,12.59901071,0.385052193,1.1208E-05,0.686207594,1.052E-05,0.312813187,6.87934E-07,0.061379101
621.699,0.687508221,4.839386076,,1.12083E-05,12.56464825,894.849,621.699,4.863171727,0.681431729,12.6333774,0.384946287,1.12076E-05,0.683195028,1.05199E-05,0.315818043,6.87691E-07,0.061359392
621.599,0.68445901,4.851276704,,1.1208E-05,12.59901071,894.749,621.599,4.875071211,0.67842616,12.66774832,0.38484118,1.12072E-05,0.680204022,1.05198E-05,0.318801446,6.87447E-07,0.061339695
621.499,0.681431729,4.863171727,,1.12076E-05,12.6333774,894.649,621.499,4.886975221,0.675442086,12.70212344,0.384736871,1.12068E-05,0.67723436,1.05196E-05,0.321763609,6.87204E-07,0.061320012
621.399,0.67842616,4.875071211,,1.12072E-05,12.66774832,894.549,621.399,4.898883822,0.672479293,12.73650275,0.384633358,1.12065E-05,0.674285832,1.05195E-05,0.324704744,6.86961E-07,0.061300342
621.299,0.675442086,4.886975221,,1.12068E-05,12.70212344,894.449,621.299,4.91079708,0.669537571,12.77088626,0.384530641,1.12061E-05,0.671358228,1.05194E-05,0.327625059,6.86718E-07,0.061280685
621.199,0.672479293,4.898883822,,1.12065E-05,12.73650275,894.349,621.199,4.922715061,0.666616712,12.80527394,0.384428719,1.12057E-05,0.66845134,1.05193E-05,0.330524759,6.86476E-07,0.061261041
621.099,0.669537571,4.91079708,,1.12061E-05,12.77088626,894.249,621.099,4.93463783,0.66371651,12.83966579,0.384327592,1.12054E-05,0.665564966,1.05191E-05,0.333404048,6.86233E-07,0.061241411
620.999,0.666616712,4.922715061,,1.12057E-05,12.80527394,894.149,620.999,4.946565454,0.660836761,12.8740618,0.384227257,1.1205E-05,0.662698904,1.0519E-05,0.336263127,6.85991E-07,0.061221794
620.899,0.66371651,4.93463783,,1.12054E-05,12.83966579,894.049,620.899,4.958497999,0.657977265,12.90846196,0.384127715,1.12046E-05,0.659852954,1.05189E-05,0.339102193,6.85749E-07,0.06120219
620.799,0.660836761,4.946565454,,1.1205E-05,12.8740618,893.949,620.799,4.970435532,0.655137824,12.94286625,0.384028965,1.12043E-05,0.65702692,1.05188E-05,0.341921442,6.85507E-07,0.061182599
620.699,0.657977265,4.958497999,,1.12046E-05,12.90846196,893.849,620.699,4.982378119,0.652318243,12.97727468,0.383931006,1.12039E-05,0.654220608,1.05186E-05,0.344721068,6.85265E-07,0.061163022
620.599,0.655137824,4.970435532,,1.12043E-05,12.94286625,893.749,620.599,4.994325826,0.649518327,13.01168723,0.383833836,1.12035E-05,0.651433825,1.05185E-05,0.347501261,6.85023E-07,0.061143458
620.499,0.652318243,4.982378119,,1.12039E-05,12.97727468,893.649,620.499,5.006278722,0.646737886,13.0461039,0.383737456,1.12032E-05,0.648666384,1.05184E-05,0.350262211,6.84782E-07,0.061123908
